basisOfRecord,catalogNumber,collectionCode,coordinateUncertaintyInMeters,countryCode,county,day,decimalLatitude,decimalLongitude,eventDate,habitat,institutionCode,locality,month,municipality,occurrenceID,recordedBy,scientificName,stateProvince,utm100x100m,utm10x10km,verbatimCoordinates,verbatimElevation,verbatimLocality,year
PreservedSpecimen,29329,,71,ES,,13,43.46364,-8.28733,2014-06-13,,,,6,,SANT:SANT-Algae:29329-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ576125,,29TNJ576125,,"A Coruña: Torpedera cerca Castillo de San Felipe, Ferrol, Ría de Ferrol",2014
PreservedSpecimen,29316,,71,ES,,11,43.465387,-8.278655,2014-05-11,,,,5,,SANT:SANT-Algae:29316-A,"I. Bárbara, Bagnaro, Hildebrand, V. Peña & O. de Clerck",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ583127,,29TNJ583127,,"A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol",2014
PreservedSpecimen,29299,,71,ES,,24,43.355319,-8.245409,2014-07-24,,,,7,,SANT:SANT-Algae:29299-A,"V. García-Redondo, A. García-Fernández & I. Bárbara",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ611005,,29TNJ611005,,"A Coruña: Playa de Sada cerca dique, Ría de Ares y Betanzos",2014
PreservedSpecimen,29028,,71,ES,,21,43.464392,-8.263833,2014-05-21,,,,5,,SANT:SANT-Algae:29028-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ595126,,29TNJ595126,,"A Coruña: Frente a Mugardos, Mugardos, Ría de Ferrol",2014
PreservedSpecimen,28448,,71,ES,,18,42.576138,-8.926279,2008-06-18,,,,6,,SANT:SANT-Algae:28448-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH060137,,29TNH060137,,"A Coruña: Punta Cabio, Ría de Arousa",2008
PreservedSpecimen,28423,,71,ES,,18,42.574291,-8.873886,2008-06-18,,,,6,,SANT:SANT-Algae:28423-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH103135,,29TNH103135,,"A Coruña: Ensenada de Palmeira, Riveira, Ría de Arousa",2008
PreservedSpecimen,27229,,71,ES,,18,42.242894,-8.89879,2003-05-18,,,,5,,SANT:SANT-Algae:27229-A,C. Peteiro & Mª López,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG083767,,29TNG083767,,"Pontevedra: Ría de Vigo, Islas Cíes, playa Cantareira",2003
PreservedSpecimen,26582,,71,ES,,28,42.565349,-8.965278,2004-04-28,,,,4,,SANT:SANT-Algae:26582-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH028125,,29TNH028125,,"A Coruña: Ribeira, parte externa Ría de Arousa",2004
PreservedSpecimen,24300,,71,ES,,14,42.349854,-8.756564,2005-06-14,,,,6,,SANT:SANT-Algae:24300-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG200886,,29TNG200886,,"Pontevedra: Isla de San Clemente, Bueu, Ría de Pontevedra",2005
PreservedSpecimen,24019,,71,ES,,10,42.493308,-8.996958,2003-11-10,,,,11,,SANT:SANT-Algae:24019-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH002045,,29TNH002045,,"A Coruña: Isla Erbosa, Sálvorra, Ribeira, Ría de Arousa",2003
PreservedSpecimen,23941,,71,ES,,7,42.247301,-8.819992,2006-06-07,,,,6,,SANT:SANT-Algae:23941-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG148772,,29TNG148772,,"Pontevedra: Ensenada Limens, Cangas, Ría de Vigo",2006
PreservedSpecimen,23660,,71,ES,,30,42.514897,-8.923917,2005-08-30,,,,8,,SANT:SANT-Algae:23660-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNH062069,,29TNH062069,,"Pontevedra: Ría de Arousa, Los Mezos, Isla de Arosa",2005
PreservedSpecimen,22145,,71,ES,,28,42.566248,-8.960404,2004-04-28,,,,4,,SANT:SANT-Algae:22145-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH032126,,29TNH032126,,"A Coruña: Punta Aguiuncho, Ribeira, Ría de Arousa",2004
PreservedSpecimen,21414,,71,ES,,14,42.367845,-8.746778,2005-06-14,,,,6,,SANT:SANT-Algae:21414-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG208906,,29TNG208906,,"Pontevedra: Punta Loira, Marín, Ría de Pontevedra",2005
PreservedSpecimen,21132,,71,ES,,21,43.366739,-8.34524,2008-06-21,,,,6,,SANT:SANT-Algae:21132-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ530017,,29TNJ530017,,"A Coruña: Isla Castelo, Oleiros, Ría de A Coruña",2008
PreservedSpecimen,21032,,71,ES,,5,43.460236,-8.182299,2006-09-05,,,,9,,SANT:SANT-Algae:21032-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ661122,,29TNJ661122,,"A Coruña: Ría de Ferrol, Pta. San Carlos, Ferrol",2006
